tf,tissue,regulon_size
GUCY1B1,IFG,776
TFPT,IFG,53
EGR4,IFG,33
TFDP2,IFG,35
MECOM,IFG,60
BCL6B,PCC,25
YBX3,PCC,49
ID3,PCC,31
TEAD2,PCC,83
MCM7,PCC,114
NFKBIA,PCC,26
NUPR1,PCC,66
MEF2C,PCC,265
JMJD6,PCC,35
SERTAD1,PCC,57
MXI1,PCC,38
GLI1,PCC,18
FOXO4,PCC,37
ETV4,PCC,44
TFDP1,PCC,24
FOXF1,PCC,29
TEAD4,PCC,33
ZNF768,PCC,24
ADCYAP1,PCC,109
MSX1,PCC,17
MAFF,PCC,23
KAT7,PCC,68
WWTR1,PG,142
TP53BP1,PG,233
RUNX2,PG,32
MAP2K1,PG,190
SMARCC1,PG,105
PGBD5,PG,306
NR4A1,PG,19
TBX3,PG,15
PRDM6,PG,64
MAFB,PG,29
RXRA,PG,72
RUNX1,PG,54
IRF8,PG,110
ID2,PG,21
EHF,PG,165
NOTCH1,PG,65
ZFP36L1,PG,29
SPI1,PG,54
REST,PG,128
MSC,PG,61
ME3,PG,352
ELF1,PG,48
CAVIN1,PG,81
ZNF652,PG,40
MYRF,PG,129
GRHL1,PG,93
MEF2C,PG,269
SOX9,PG,36
HDAC1,PG,57
AATF,PG,32
EGR3,PG,133
INSR,PG,17
RBL2,PG,26
BBX,PG,144
SALL2,PG,36
E2F3,PG,78
AR,PG,54
KDM1A,PG,67
FGFR1,PG,20
CHD4,PG,38
BACH1,PG,27
GATAD2A,PG,29
NOTCH3,PG,36
ADCYAP1,PG,150
BCL6,PG,26
ZNF184,PG,210
ZSCAN29,PG,15
HMG20B,PG,77
RBFOX2,PG,389
GLIS3,PG,67
ID3,PG,35
IFI16,PG,31
FLT1,PG,18
THRB,PG,140
STAT3,PG,50
SATB2,PG,76
ATF7,PG,28
YBX1,PG,25
CREB3L2,PG,42
RELA,PG,27
CHAF1B,PG,55
BHLHE41,PG,56
TRIP6,PG,136
KLF15,PG,30
BARD1,PG,32
CEBPB,PG,15
ID1,PG,17
NFATC4,PG,51
SMC1A,PG,47
EGF,PG,55
STAT5A,PG,33
ZNF382,PG,439
HIVEP2,PG,88
RELB,PG,20
INSM2,PG,95
HTATIP2,PG,78
HIPK2,PG,61
NFKB2,PG,22
ETS1,PG,51
BCL11A,PG,234
HIF3A,PG,75
ADA2,PG,75
PTBP1,PG,140
IKZF1,PG,76
TRIM22,PG,105
BCL3,PG,23
HLF,PG,23
LMNA,PG,51
TRIM28,PG,63
EBF1,PG,46
YBX3,PG,36
GLIS2,PG,21
SOX10,PG,42
FHL2,PG,104
BHLHE22,PG,43
CHD7,PG,41
RIMBP2,PG,245
DDB2,PG,51
RREB1,PG,131
BCL11B,PG,132
KLF8,PG,74
TBL1X,PG,58
SIPA1,PG,50
TFEB,PG,100
ATF3,PG,39
RFX2,PG,18
ZFHX3,PG,16
TGIF1,PG,16
NFKBIA,PG,30
ZNF423,PG,42
TCFL5,PG,21
SOX13,PG,56
SVIL,PG,90
ZNF623,PG,84
STAT4,PG,182
OCA2,PG,63
CEBPD,PG,15
ZHX2,PG,65
ELF4,PG,21
CEBPA,PG,15
HOPX,PG,75
PAX7,PG,131
NFKBIZ,PG,142
LEF1,PG,15
GUCY1B1,PG,472
HDGF,PG,64
MCM7,PG,41
MAFF,PG,29
MECOM,PG,44
ZNF697,PG,130
HDAC7,PG,173
FOXJ1,PG,53
HMCES,PG,242
BTN3A3,PG,42
EPAS1,PG,54
ZBTB20,PG,70
ZBTB7B,PG,18
IKBKB,PG,118
PAX6,PG,20
ZNF664,PG,51
TBR1,PG,34
BTN3A2,PG,23
PTMA,PG,49
DLX1,PG,115
PEG10,PG,48
SP1,PG,23
PHF10,PG,121
FOXC1,PG,41
LMO3,PG,115
AFF1,PG,23
VEZF1,PG,115
YAP1,PG,49
LMO4,PG,67
PPARA,PG,72
FLI1,PG,35
ZFP36,PG,28
MYH11,PG,45
IRF5,PG,83
SIRT2,PG,79
IRF7,PG,31
ZIC2,PG,38
GABPB2,PG,124
ELK3,PG,26
EBNA1BP2,PG,184
PGR,PG,58
JUNB,PG,29
CIITA,PG,67
SRSF9,STG,26
PYGO2,STG,25
SCAND1,STG,160
TEAD2,STG,45
FLT1,STG,18
MITF,STG,15
RUNX1,STG,72
RXRB,STG,67
REL,STG,21
HNRNPH1,STG,43
ZNF704,STG,54
BHLHE41,STG,42
KLF15,STG,26
SPI1,STG,81
ME3,STG,197
ZNF449,STG,140
FOXN3,STG,49
ELF1,STG,35
NR2F6,STG,100
TGIF1,STG,18
NFKBIA,STG,31
ZNF329,STG,43
HDAC1,STG,61
AATF,STG,64
OCA2,STG,29
ICE1,STG,75
INTS13,STG,25
FLI1,STG,96
FOS,STG,32
DAXX,STG,52
IKZF1,STG,87
MLX,STG,50
SIRT2,STG,97
IRF5,STG,58
ADCYAP1,STG,104
BCL6,STG,19
TFDP1,STG,37
MECOM,STG,22
WWTR1,TC,89
CDK2,TC,43
TBX3,TC,36
PRDM6,TC,34
RBM17,TC,64
RXRA,TC,74
IRF8,TC,43
ZNF596,TC,58
BMPR1A,TC,49
CAVIN1,TC,45
TRPS1,TC,45
NR2F1,TC,39
ZIC1,TC,35
MAL,TC,90
BIN1,TC,69
NOTCH3,TC,37
ADCYAP1,TC,202
BCL6,TC,34
POU2AF1,TC,182
HDAC11,TC,88
GLIS3,TC,37
ID3,TC,52
TEAD2,TC,62
DLX6,TC,54
FLT1,TC,39
IRX3,TC,31
STAT3,TC,93
CREB3L2,TC,58
ZBTB42,TC,76
KLF15,TC,42
F10,TC,16
ID1,TC,51
EGF,TC,30
RELB,TC,57
EGFR,TC,31
ETV5,TC,34
HIPK2,TC,46
NFKB2,TC,46
ETS1,TC,35
EGR1,TC,29
TEAD1,TC,27
ZNF217,TC,59
TEAD4,TC,42
SMAD6,TC,26
MSX1,TC,32
SPDEF,TC,109
EBF1,TC,45
TFCP2,TC,84
ZEB2,TC,85
CSNK2A1,TC,80
ZNF169,TC,65
ID4,TC,60
RREB1,TC,65
TOX4,TC,49
MYCN,TC,66
TBL1X,TC,65
SP100,TC,100
PLAG1,TC,35
CREB5,TC,118
RFX2,TC,53
TGIF1,TC,57
NFKBIA,TC,29
NUPR1,TC,37
SVIL,TC,47
PRDM5,TC,204
STAT4,TC,132
OCA2,TC,69
CEBPD,TC,32
CEBPG,TC,60
MXI1,TC,38
ELF4,TC,30
HOPX,TC,76
CREB3L1,TC,36
MEIS1,TC,61
CRABP2,TC,83
LEF1,TC,47
ETV4,TC,34
FOXF1,TC,25
HDGF,TC,53
TFDP2,TC,31
MCM7,TC,55
TWIST1,TC,34
MECOM,TC,39
KAT7,TC,60
ZHX1,TC,52
ZEB1,TC,33
PRKCQ,TC,160
CAT,TC,38
EPAS1,TC,43
PAX6,TC,50
BRD9,TC,216
TCF7L1,TC,64
GPIHBP1,TC,70
KLF5,TC,67
FOXG1,TC,34
DLX1,TC,88
FOXC1,TC,106
GATA2,TC,58
YAP1,TC,115
TAF3,TC,49
FLI1,TC,68
PPARA,TC,58
NPAS2,TC,38
GLI1,TC,43
KCNIP3,TC,97
HR,TC,53
PADI2,TC,60
KLF2,TC,26
ZIC2,TC,40
ZNF18,TC,109
PGR,TC,45
NFIB,TC,37
SALL2,TC,15
ARNT2,cerebellum,110
SMARCC1,cerebellum,50
PGBD5,cerebellum,72
ZNF19,cerebellum,118
RBM17,cerebellum,42
NXF1,cerebellum,99
DMC1,cerebellum,43
H2AZ1,cerebellum,97
ZNF491,cerebellum,48
SEC14L2,cerebellum,151
MAX,cerebellum,105
NCOA1,cerebellum,45
ZNF596,cerebellum,17
NVL,cerebellum,34
THAP7,cerebellum,95
ME3,cerebellum,52
RYBP,cerebellum,85
CDK9,cerebellum,53
HSD17B8,cerebellum,151
ZNF512B,cerebellum,94
NRL,cerebellum,51
NR2F1,cerebellum,32
JMJD6,cerebellum,318
KLRG1,cerebellum,92
MAL,cerebellum,138
ZBTB1,cerebellum,82
ZBTB40,cerebellum,31
FOXO4,cerebellum,194
KDM5A,cerebellum,68
BCL6,cerebellum,42
ZNF184,cerebellum,45
TBP,cerebellum,51
NFE2L2,cerebellum,154
RCOR2,cerebellum,44
CHAF1B,cerebellum,114
ZKSCAN1,cerebellum,113
SND1,cerebellum,168
TOP1,cerebellum,68
ASCL1,cerebellum,89
CREB3L4,cerebellum,136
ZBTB5,cerebellum,40
PARP1,cerebellum,92
ADA2,cerebellum,66
EGR4,cerebellum,16
YY1,cerebellum,152
JDP2,cerebellum,217
EBF1,cerebellum,42
STAT5B,cerebellum,132
SRSF4,cerebellum,35
YBX3,cerebellum,58
ZNF433,cerebellum,42
ASH2L,cerebellum,149
SCAND1,cerebellum,99
BTG2,cerebellum,49
HMGN1,cerebellum,62
ZNF629,cerebellum,59
NR1I3,cerebellum,85
E2F1,cerebellum,17
MXI1,cerebellum,45
PHB2,cerebellum,176
MIXL1,cerebellum,25
MAFF,cerebellum,52
MPHOSPH8,cerebellum,62
TIAL1,cerebellum,76
HEXIM1,cerebellum,76
ZFAT,cerebellum,127
TAF7,cerebellum,136
GABPB1,cerebellum,103
ZNF263,cerebellum,29
IKBKB,cerebellum,179
ZNF704,cerebellum,51
ZNF664,cerebellum,179
TFCP2L1,cerebellum,130
DIDO1,cerebellum,141
ZNF554,cerebellum,38
MCM5,cerebellum,40
SP1,cerebellum,109
FOXC1,cerebellum,51
BMI1,cerebellum,51
FANCD2,cerebellum,107
ELK1,cerebellum,93
CRY1,cerebellum,79
TAF3,cerebellum,84
SALL3,cerebellum,45
ZFP36,cerebellum,16
IRF5,cerebellum,72
ZNF18,cerebellum,70
U2AF2,cerebellum,180
ZMYND8,cerebellum,38
PKNOX1,cerebellum,73
