genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000068400	0.298796586108902	6.72396104048412	44.6360974892821	2.37276445787228e-11	4.90511125291933e-09	GRIPAP1	gold
ENSG00000145907	-0.301536271224422	6.41961661998908	44.6218412383897	2.39010450865293e-11	4.90511125291933e-09	G3BP1	royalblue
ENSG00000158526	0.401884578760415	6.7973006412551	44.4687975825493	2.58443548098226e-11	5.24750378617312e-09	TSR2	gold
ENSG00000163297	-0.668088743181258	3.2219116471094	44.3757798577711	2.7101944139469e-11	5.44492321943058e-09	ANTXR2	royalblue
ENSG00000083312	-0.295053515107853	6.67852094850475	44.3222423282254	2.78533500314347e-11	5.5375941531246e-09	TNPO1	royalblue
ENSG00000198876	-0.326763483846558	4.70647778704371	44.2308675106907	2.9184286952827e-11	5.74238454414078e-09	DCAF12	royalblue
ENSG00000188488	-1.64738208289775	2.10725097555793	44.1329992039893	3.0680488885952e-11	5.97518174364571e-09	SERPINA5	royalblue
ENSG00000231764	1.14137979840585	4.0332857559364	44.0483662410801	3.20361152840885e-11	6.17617471022337e-09	NA	gold
ENSG00000164188	-0.88672343666454	6.17970656442215	43.997421924825	3.28808664742875e-11	6.27564217528251e-09	RANBP3L	royalblue
ENSG00000170791	0.323489917108341	4.66736224541192	43.6949308016687	3.83764523154864e-11	7.25200959300369e-09	CHCHD7	gold
ENSG00000172493	-0.408176153487627	5.80581099160382	43.5710764880705	4.08837157988913e-11	7.65006470331019e-09	AFF1	royalblue
ENSG00000151632	-0.953547666089965	3.07113630629175	43.4643358181594	4.31756975801194e-11	8.00049867974912e-09	AKR1C2	royalblue
ENSG00000128298	0.515418145002146	3.47493458989601	43.2837545649039	4.73498477736576e-11	8.68960764046182e-09	BAIAP2L2	gold
ENSG00000146469	0.969406288240426	2.72675217377394	43.2590419213947	4.79516682498697e-11	8.71624324016203e-09	VIP	gold
ENSG00000144824	-1.37635827524298	3.74562171838637	43.0556579094493	5.32045317771109e-11	9.55809543182783e-09	PHLDB2	royalblue
ENSG00000230910	0.440889410017472	5.36964171039988	43.0417305811344	5.35846280627464e-11	9.55809543182783e-09	NA	gold
ENSG00000146540	0.388354947422488	5.88259553316066	43.0017390470216	5.46912282468746e-11	9.61907706768497e-09	C7orf50	gold
ENSG00000051620	-0.483625918798412	4.62793294173265	42.9930569418267	5.49344755515908e-11	9.61907706768497e-09	HEBP2	royalblue
ENSG00000170242	-0.314386487997701	7.27516729731281	42.9283607080222	5.67815049286041e-11	9.85210730061215e-09	USP47	royalblue
ENSG00000034677	-0.452160326652057	6.14288055617586	42.8589301852084	5.88329038342121e-11	1.01160793025205e-08	RNF19A	royalblue
ENSG00000108950	-1.65664464523286	2.63173758160029	42.8287379297126	5.97479550981779e-11	1.01816917053913e-08	FAM20A	royalblue
ENSG00000235597	0.554995753685165	3.31854937220825	42.8010152904771	6.06006989721646e-11	1.023561894321e-08	LINC01102	gold
ENSG00000205929	-1.23427823466071	2.01935108930889	42.6413402659193	6.57548897392757e-11	1.09287851415886e-08	EPCIP	royalblue
ENSG00000119681	-0.748652574217631	3.25192918893342	42.6301119829957	6.61334254748718e-11	1.09287851415886e-08	LTBP2	royalblue
ENSG00000116678	-1.08614252582286	4.75955849894997	42.6215817431206	6.64224602548609e-11	1.09287851415886e-08	LEPR	royalblue
ENSG00000287689	-1.76891321880272	1.97302378655483	42.5644910881662	6.83897163997193e-11	1.11562916855132e-08	NA	royalblue
ENSG00000125534	0.512761053414945	6.33458205768842	42.4892622313635	7.10713269151640e-11	1.14954859788375e-08	PPDPF	gold
ENSG00000182326	-0.81123624197084	5.20647191796507	42.3272228439788	7.72103213003855e-11	1.23834974146148e-08	C1S	royalblue
ENSG00000078814	0.658127134466024	4.9786783124312	42.2050582674864	8.21871658645303e-11	1.30718687307535e-08	MYH7B	gold
ENSG00000173641	-1.00254120845127	2.33033531526705	41.5058999207411	1.17515733575276e-10	1.85364073637828e-08	HSPB7	royalblue
ENSG00000149527	0.471272207401458	5.36569662788553	41.3693787154743	1.26015992543469e-10	1.97142724072513e-08	PLCH2	gold
ENSG00000152137	-0.572313671821817	7.1746814800184	41.259393812455	1.33309643373046e-10	2.06857549058371e-08	HSPB8	royalblue
ENSG00000182718	-0.970056873724378	5.03696140954857	41.242200642847	1.34487396970758e-10	2.07002133756765e-08	ANXA2	royalblue
ENSG00000164823	-0.394439863677757	5.19062414565268	41.0191448601342	1.50745315373833e-10	2.30170007137998e-08	OSGIN2	royalblue
ENSG00000153162	-0.972789100143255	3.26382730708332	40.9896034536067	1.53041165710366e-10	2.31820927678417e-08	BMP6	royalblue
ENSG00000113108	0.307769779119862	4.71555966024087	40.9686679011036	1.5468936199062e-10	2.32472532515983e-08	APBB3	gold
ENSG00000124942	-0.857287747022604	8.96363388546235	40.9259156462388	1.58110524891352e-10	2.34713710909109e-08	AHNAK	royalblue
ENSG00000166012	0.275968103693015	5.63609790211549	40.919379500138	1.58640200708766e-10	2.34713710909109e-08	TAF1D	gold
ENSG00000092969	-0.858641386983925	4.91396449821531	40.8068014875123	1.68047195940428e-10	2.46719137055309e-08	TGFB2	royalblue
