genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000111863	0.583373409440084	2.4132265678373	30.6727684623393	3.05421516015193e-08	8.71234452735645e-06	ADTRP	gold
ENSG00000225937	-0.470996395371787	3.97739899567452	30.6125127727194	3.15055318037606e-08	8.79475053744261e-06	PCA3	royalblue
ENSG00000185722	-0.151741742829336	6.83470153220189	30.5360834439111	3.27714207994384e-08	8.79475053744261e-06	ANKFY1	royalblue
ENSG00000089169	0.566045683257415	7.12498181855227	30.5257266686424	3.29468344960982e-08	8.79475053744261e-06	RPH3A	gold
ENSG00000205835	-0.951975750579355	1.76406611722394	30.5254694534211	3.29512029247151e-08	8.79475053744261e-06	GMNC	royalblue
ENSG00000196465	0.292003623630873	4.98090534383662	30.5113450445708	3.31919785094799e-08	8.79475053744261e-06	MYL6B	gold
ENSG00000279118	-0.422400137041017	4.46378217043467	30.5107211930052	3.32026537143901e-08	8.79475053744261e-06	NA	royalblue
ENSG00000244731	-0.649023631262824	4.01199843680667	30.3127364657967	3.67703488899992e-08	9.58360024086584e-06	C4A	royalblue
ENSG00000287338	-1.06947329558585	2.98367020154571	30.2984473529661	3.70422301444702e-08	9.58360024086584e-06	NA	royalblue
ENSG00000286771	-0.473665888709076	3.00563871776737	30.1935459030366	3.91008498505028e-08	9.99992999050216e-06	NA	royalblue
ENSG00000119638	-0.220203290232194	6.1130079577431	30.0792547934091	4.147442970473e-08	1.0381301091042e-05	NEK9	royalblue
ENSG00000108309	0.290445701429669	7.41233694967835	30.0768821554171	4.15252043641681e-08	1.0381301091042e-05	RUNDC3A	gold
ENSG00000148204	-0.468932870766106	6.28047330537944	30.0508765640143	4.2085825037113e-08	1.04045511897307e-05	CRB2	royalblue
ENSG00000183090	0.723391149880239	3.55596426850467	30.0126751424576	4.2923140052277e-08	1.04949435842106e-05	FREM3	gold
ENSG00000183856	0.608933069600214	2.31060865649807	29.8610309483105	4.64148572599593e-08	1.12253323264575e-05	IQGAP3	gold
ENSG00000147010	0.24915832525381	5.73903769305472	29.8270300357564	4.72360188355652e-08	1.13010905278637e-05	SH3KBP1	gold
ENSG00000231312	0.249333276388308	4.91777243959251	29.7194991887483	4.99300563440169e-08	1.18185505707912e-05	MAP4K3-DT	gold
ENSG00000148082	0.28912623298952	8.90300714576882	29.686546976771	5.07860490451354e-08	1.18946272763607e-05	SHC3	gold
ENSG00000139318	0.494591313857341	4.73367820769394	29.6545223579887	5.16320319279177e-08	1.19667990666267e-05	DUSP6	gold
ENSG00000182674	0.534298130065399	4.02538606365034	29.633377019599	5.2198345476551e-08	1.19733318232295e-05	KCNB2	gold
ENSG00000152128	0.321461673396818	3.87113684181586	29.5933666542961	5.32869858051281e-08	1.2093486426158e-05	TMEM163	gold
ENSG00000283646	0.741318637080488	1.95100773902401	29.5744629366438	5.38092205029051e-08	1.2093486426158e-05	LINC02009	gold
ENSG00000180822	-0.277323206640098	4.58546372213434	29.4782357766402	5.65481599416595e-08	1.25819655870192e-05	PSMG4	royalblue
ENSG00000164050	-0.413607171118865	7.9943003981138	29.4507873581273	5.73547335886196e-08	1.26350774489781e-05	PLXNB1	royalblue
ENSG00000235033	-0.490393691265442	3.44745745517793	29.3784516786619	5.95359708289353e-08	1.29870132445472e-05	DAAM2-AS1	royalblue
