genes	logFC	logCPM	LR	PValue	FDR	symbol	keyvals
ENSG00000094916	-0.173721670428411	8.73287877847685	23.9699508981922	9.78510235516012e-07	0.000888017608935491	CBX5	royalblue
ENSG00000128564	0.817634525933146	4.66116298134431	23.7319796708382	1.10727268182533e-06	0.00093134487673896	VGF	gold
ENSG00000162687	0.257847167485588	5.7111422645066	23.7301029096413	1.10835294745909e-06	0.00093134487673896	KCNT2	gold
ENSG00000103365	-0.162148682715825	6.20271599936499	23.5521982721415	1.2157045319103e-06	0.000985068014999321	GGA2	royalblue
ENSG00000286163	0.299719884483334	4.22461621685175	23.2422142149539	1.42827492827497e-06	0.0011066157481791	NA	gold
ENSG00000131095	-0.452376234332617	12.5385557003402	23.1956739279111	1.46326130312821e-06	0.0011066157481791	GFAP	royalblue
ENSG00000171456	-0.12528576455274	6.40070448873828	23.0185537890729	1.6044546162346e-06	0.00116719052229325	ASXL1	royalblue
ENSG00000240322	-1.16009358831282	2.31367940878655	22.9691171265592	1.6462489736153e-06	0.00116719052229325	RN7SL481P	royalblue
ENSG00000176697	0.514063938154891	3.1897224269502	22.8976817102654	1.70857798652762e-06	0.00117467325328299	BDNF	gold
ENSG00000239932	-2.08351097421782	3.43138411870413	22.51698121357	2.08294112368263e-06	0.00138993435923858	RN7SL606P	royalblue
ENSG00000087116	-0.461931062300238	3.84414368520599	22.3120259692926	2.31750710745109e-06	0.00146068500457546	ADAMTS2	royalblue
ENSG00000079841	0.193050949081368	8.15902407480481	22.3118412151554	2.31773008483412e-06	0.00146068500457546	RIMS1	gold
ENSG00000168913	0.297799557999978	5.58290906092529	22.0864479118783	2.6064334600749e-06	0.0015982368200589	ENHO	gold
ENSG00000248837	0.597178260313104	2.71797088488999	21.9313218739595	2.82583846982613e-06	0.00168717429482672	LOC105374524	gold
ENSG00000141433	0.546766288730288	4.05382697269862	21.8742382574563	2.91116023731196e-06	0.00169354880677266	ADCYAP1	gold
ENSG00000053702	-0.31421808594672	3.76230759752822	21.6046492875938	3.35038700758109e-06	0.00185602578759686	NRIP2	royalblue
ENSG00000177108	-0.304007135409252	5.47848843926672	21.6025441316524	3.35406634747318e-06	0.00185602578759686	ZDHHC22	royalblue
ENSG00000204929	0.36540029390824	2.97859072796337	21.4282648829466	3.67316231724636e-06	0.00193739133168879	LOC124906016	gold
ENSG00000139318	0.502820131785265	4.78722156687084	21.4022706308339	3.72329981930313e-06	0.00193739133168879	DUSP6	gold
ENSG00000273540	0.441242496797597	2.61246120294537	21.3848510980569	3.7572822017942e-06	0.00193739133168879	AGBL1	gold
ENSG00000265727	-0.539363390469128	4.28653114034219	21.3402736242172	3.84566897148756e-06	0.00193890083611355	RN7SL648P	royalblue
ENSG00000213755	0.900457452565619	1.78955626887706	21.0260169776291	4.53088827086517e-06	0.00223471289324759	NA	gold
ENSG00000111863	0.41640071921842	2.67004149821375	20.9415228880902	4.73518550537651e-06	0.00225936656878334	ADTRP	gold
ENSG00000264169	-1.45072543240269	2.84776554751142	20.9234612128847	4.78004210602963e-06	0.00225936656878334	RN7SL665P	royalblue
ENSG00000116128	-0.193365112756198	4.85294656096626	20.8462091279267	4.97676286129166e-06	0.00230434277136704	BCL9	royalblue
ENSG00000272469	-0.829294254014112	1.95965809245979	20.732731966239	5.2805608589106e-06	0.00239610729533927	RN7SL760P	royalblue
ENSG00000240474	-1.02418471513182	3.10484605829134	20.6914129306201	5.39574365073274e-06	0.00240036533231028	RN7SL116P	royalblue
ENSG00000147571	0.74586358587961	1.90889907696896	20.5604135960307	5.77786219144982e-06	0.00252092571922334	CRH	gold
ENSG00000134324	-0.117089287274212	7.02729786532473	20.4369000261709	6.16299587774368e-06	0.00263822736743865	LPIN1	royalblue
ENSG00000197410	0.2413796771017	5.60464255943502	20.2654359361898	6.74074011833694e-06	0.00281580150602661	DCHS2	gold
