category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	29/772	196/9512	0.14795918367346939	1.8230411335518661	3.4601972859414296	0.001101113454987044	0.006712557023671018	0.004569397940735709	4773/718/23533/51176/942/7098/6850/2785/7132/4772/7157/57580/9261/3106/808/5743/9976/3133/3107/3710/1234/83439/285/3665/3383/7538/1026/4277/3576	29
Human Diseases	Substance dependence	hsa05033	Nicotine addiction	10/772	41/9512	0.24390243902439024	3.005181347150259	3.823963081766512	0.0012904521363142451	0.007696785889500288	0.005239386044654023	2567/2892/2556/2903/2554/2563/2566/2559/2561/57084	10
NA	NA	hsa04517	IgSF CAM signaling	40/772	302/9512	0.13245033112582782	1.631952784545174	3.3168384010314096	0.0013322392337002354	0.007696785889500288	0.005239386044654023	8832/2308/3688/3786/6092/5962/26280/942/219699/3635/5058/4478/6334/3687/3689/50848/137970/3678/6900/7277/5579/3683/7280/26047/3791/5829/55243/92154/120425/90952/117157/1796/9423/5582/91807/57513/4629/3383/10398/54538	40
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	16/772	86/9512	0.18604651162790697	2.2923243764308956	3.5778577430685217	0.0013354044918691352	0.007696785889500288	0.005239386044654023	1837/3688/3655/51176/3693/10368/3691/8515/1832/3678/3672/2697/3728/6442/83439/1674	16
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	29/772	201/9512	0.14427860696517414	1.7776918516227156	3.3118712008848283	0.0016388816814585376	0.009277240946827792	0.0063152395620112815	7048/2308/2313/4005/942/1050/85414/2892/3087/604/7157/2321/4804/4208/2078/4066/3728/6929/26471/84444/6688/6495/6256/4353/1026/7850/3479/5328/3576	29
Human Diseases	Infectious disease: bacterial	hsa05130	Pathogenic Escherichia coli infection	29/772	203/9512	0.14285714285714285	1.760177646188009	3.2537008672269847	0.0019103418809478605	0.0106241820396574	0.0072321345446779576	3688/10163/7100/3071/5058/3059/7132/2846/3606/2768/7277/24146/7280/834/3554/5010/57121/2212/100506658/1902/8743/4542/4641/7122/4629/8797/10686/3553/3576	29
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	22/772	140/9512	0.15714285714285714	1.9361954108068096	3.316503122059018	0.001953814834340425	0.010678608663550256	0.007269184047909022	187/23533/5581/2785/23236/5054/8877/4843/808/10365/1958/814/5346/4208/3710/196883/4846/91807/6696/5331/4854/6237	22
Organismal Systems	Immune system	hsa04650	Natural killer cell mediated cytotoxicity	21/772	134/9512	0.15671641791044777	1.930941149176398	3.225414521838411	0.002532288506422502	0.013605685703998867	0.009261715322330293	4773/5058/6850/3689/2185/4772/6452/5579/3683/3106/3133/3107/7305/8743/117157/5582/3383/2207/8797/4277/5551	21
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	17/772	100/9512	0.17	2.094611398963731	3.2702807042046342	0.002650585051265115	0.014003924354184023	0.009532805886128922	3587/3570/1435/7132/7133/3606/7852/8793/6387/4055/6349/8743/6374/1234/8809/8797/3576	17
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	19/772	119/9512	0.15966386554621848	1.967257369268951	3.155581428093018	0.0032111440724220245	0.016687420835373473	0.011359526054297067	64764/843/197259/4323/1435/7132/7133/5743/3659/79651/6374/8809/3383/602/64127/7412/9021/3553/6401	19
